Price,Distance,Bedroom,Bathroom,CarSpace,Landsize,BuildingArea,YearBuilt,Regionname,Date,Lattitude,Longtitude
1160000,11.7,4,3,4,670,273,1970,Western Metropolitan,26/08/2017,-37.73492,144.87231
1100000,8.5,4,2,0,147,159,1910,Southern Metropolitan,03/12/2016,-37.8852,144.9997
1635000,15.5,4,3,2,896,215,1985,Eastern Metropolitan,08/07/2017,-37.76797,145.13799
691000,8,2,1,1,201,80,1995,Western Metropolitan,25/02/2017,-37.7454,144.928
707000,9.2,3,2,3,556,129,1950,Northern Metropolitan,13/08/2016,-37.7305,144.9605
1680000,11.2,3,2,2,234,201,1998,Southern Metropolitan,22/08/2016,-37.8695,145.05
786000,5.9,3,2,1,576,120,1940,Western Metropolitan,26/07/2016,-37.7816,144.9217
800000,5.2,2,1,0,140,90,1890,Northern Metropolitan,03/09/2017,-37.76806,144.9598
1380000,11.2,4,2,2,230,178,2007,Southern Metropolitan,20/05/2017,-37.8806,145.0831
720000,7.2,2,1,2,797,90,1920,Southern Metropolitan,29/07/2017,-37.87449,144.99059
1220000,13.8,5,2,2,611,188,1950,Southern Metropolitan,01/07/2017,-37.93228,145.07026
771000,25.2,3,1,1,539,126,1969,South-Eastern Metropolitan,30/09/2017,-37.98916,145.17233
1190000,9.1,3,1,1,465,115,1950,Western Metropolitan,17/09/2016,-37.7626,144.8954
635000,8.4,2,1,2,152,110,2005,Northern Metropolitan,17/03/2018,-37.74542,145.00086
950000,13.8,5,3,2,700,220,1973,Eastern Metropolitan,10/09/2016,-37.7658,145.124
1560000,4.6,3,2,0,198,148,1910,Southern Metropolitan,18/03/2017,-37.8169,145.0234
1225000,11,3,1,1,697,132,1970,Western Metropolitan,12/08/2017,-37.87256,144.8078
605000,11.2,3,1,2,371,112,1950,Northern Metropolitan,13/05/2017,-37.7068,145.0193
1081000,2.6,2,1,1,126,115,1995,Northern Metropolitan,15/10/2016,-37.814,145.006
890500,2.4,2,2,2,180,123,1940,Northern Metropolitan,01/07/2017,-37.81443,144.99079
2100000,7.2,3,2,1,346,180,1890,Southern Metropolitan,03/03/2018,-37.88319,145.01142
1550000,13,2,1,1,732,97,1950,Southern Metropolitan,03/09/2016,-37.8931,145.0791
631500,14.7,4,2,2,400,192,2012,Western Metropolitan,10/02/2018,-37.89867,144.72649
950000,10.4,4,1,2,558,148,1970,Western Metropolitan,15/07/2017,-37.73834,144.88197
1214000,2.6,3,1,0,176,106,1900,Northern Metropolitan,06/05/2017,-37.8162,145.006
755000,11.5,3,2,1,341,170,2003,Northern Metropolitan,08/04/2017,-37.7166,144.9104
1060000,6.4,3,3,2,512,512,1920,Western Metropolitan,16/09/2017,-37.79487,144.86353
1075000,1.6,3,1,0,183,104,1880,Northern Metropolitan,16/04/2016,-37.7948,144.9875
455000,14.7,4,1,4,534,101,1983,Western Metropolitan,12/08/2017,-37.88496,144.66332
521000,16.3,3,1,2,589,100,1975,Northern Metropolitan,03/06/2017,-37.67056,145.03698
1420000,6.2,4,2,2,470,172,1950,Western Metropolitan,03/03/2018,-37.84525,144.87405
741000,12.4,3,1,3,578,128,1960,Northern Metropolitan,08/04/2017,-37.6966,144.9695
1045000,11.4,3,1,1,401,114,1970,Southern Metropolitan,01/07/2017,-37.92999,145.04932
785000,7.9,3,2,0,399,110,1950,Eastern Metropolitan,07/11/2016,-37.7551,145.05
1398000,7.5,3,2,1,445,182,1960,Western Metropolitan,08/07/2017,-37.75621,144.93401
1455000,12.3,4,2,2,550,209,1920,Southern Metropolitan,03/02/2018,-37.90191,145.09857
1240000,12.2,4,2,2,766,192,1950,Southern Metropolitan,19/11/2016,-37.8629,145.1097
770000,5.2,2,1,0,152,87,1910,Northern Metropolitan,15/10/2016,-37.7611,144.966
1000000,10.8,4,3,2,475,319,2002,Western Metropolitan,22/04/2017,-37.7759,144.8552
841000,6.7,3,1,3,533,150,1960,Northern Metropolitan,16/09/2017,-37.72631,144.96274
1495000,8.4,4,1,3,653,197,1935,Northern Metropolitan,24/02/2018,-37.74189,144.98967
1650000,4.6,4,2,3,207,180,2002,Southern Metropolitan,15/10/2016,-37.8271,145.0243
1700000,9.2,3,2,3,763,168,1960,Southern Metropolitan,13/08/2016,-37.7935,145.0865
550000,34.9,3,2,2,509,117,1998,South-Eastern Metropolitan,03/03/2018,-38.09113,145.19244
2005000,8.1,4,2,3,361,237,2014,Southern Metropolitan,07/05/2016,-37.8694,145.0296
1802500,5.2,4,3,1,238,93,1910,Northern Metropolitan,03/12/2016,-37.7713,144.9643
1950000,3.2,4,2,2,207,162,1900,Northern Metropolitan,22/05/2016,-37.7804,144.9748
763000,11.7,3,2,2,286,166,2003,Western Metropolitan,17/02/2018,-37.73775,144.86645
2360000,7.9,4,3,2,848,214,1926,Southern Metropolitan,12/08/2017,-37.81462,145.08776
275000,5.2,1,1,1,1388,36,1970,Northern Metropolitan,15/07/2017,-37.7684,144.94214
707000,11.4,2,1,1,144,96,2000,Southern Metropolitan,13/08/2016,-37.892,145.0482
960000,13.8,4,2,2,656,183,1990,Eastern Metropolitan,03/09/2016,-37.7322,145.0995
629000,12.9,3,1,2,552,136,1980,Western Metropolitan,12/08/2017,-37.68641,144.89826
2200000,11.2,4,2,2,734,272,1920,Southern Metropolitan,07/05/2016,-37.8286,145.092
1125000,13.8,4,1,1,700,175,1950,Southern Metropolitan,23/09/2017,-37.94312,145.0244
1050000,17.2,3,1,2,658,99,1960,Eastern Metropolitan,17/02/2018,-37.81566,145.18819
3900000,5.4,4,3,3,774,115,2004,Southern Metropolitan,17/03/2018,-37.81152,145.04885
918000,12.1,5,2,2,807,154,1960,Northern Metropolitan,21/10/2017,-37.6972,145.05135
905000,14.3,3,2,2,513,117,1995,Eastern Metropolitan,18/11/2017,-37.7952,145.1684
930000,23.5,4,2,2,664,220,1985,South-Eastern Metropolitan,03/02/2018,-37.9302,145.24241
1825000,10.7,4,3,2,594,594,1973,Southern Metropolitan,04/06/2016,-37.9029,145.0118
1490000,11.4,3,2,1,371,167,1915,Southern Metropolitan,22/08/2016,-37.8871,145.052
1700000,3.3,2,2,1,181,148,1990,Southern Metropolitan,28/08/2016,-37.8334,144.9867
685000,9.2,2,1,1,177,85,1975,Southern Metropolitan,22/05/2016,-37.7935,145.0679
1360000,6.3,3,1,1,479,128,1930,Western Metropolitan,23/09/2017,-37.81279,144.87717
501000,14.7,3,1,2,454,113,1992,Western Metropolitan,06/01/2018,-37.87912,144.66331
605000,31.7,3,2,2,755,229,1996,Western Metropolitan,26/08/2017,-37.56533,144.71233
895000,12.9,4,2,2,700,267,1999,Western Metropolitan,08/07/2017,-37.70598,144.87616
1550000,5.7,3,1,2,595,132,1940,Northern Metropolitan,14/10/2017,-37.77112,145.02893
2590000,5.6,4,2,2,660,215,1928,Southern Metropolitan,18/03/2017,-37.8124,145.0361
1750000,4.3,3,2,1,446,185,1890,Western Metropolitan,18/11/2017,-37.7766,144.9143
1275000,10.4,2,1,1,650,102,1950,Western Metropolitan,03/03/2018,-37.74035,144.88715
490000,16.5,3,2,2,228,135,2017,Northern Metropolitan,28/10/2017,-37.67474,144.90624
505500,14,3,1,1,614,110,1965,Northern Metropolitan,18/11/2017,-37.6754,144.934
2250000,4.1,3,2,1,148,146,1890,Southern Metropolitan,29/04/2017,-37.8496,144.963
660000,12.1,3,1,2,582,119,1970,Northern Metropolitan,08/07/2017,-37.70301,145.06341
815000,8.8,3,1,2,612,102,1950,Eastern Metropolitan,24/02/2018,-37.75017,145.03497
1053000,5.9,2,1,1,269,109,1900,Western Metropolitan,06/08/2016,-37.7748,144.929
410000,31.7,3,2,2,600,140,1980,Western Metropolitan,03/06/2017,-37.57686,144.71023
800000,8.2,3,2,2,306,206,2010,Western Metropolitan,09/12/2017,-37.71344,144.89478
900000,20,4,2,2,530,216,1980,South-Eastern Metropolitan,03/09/2017,-37.98368,145.09237
912000,12.3,4,2,2,344,146,1997,Southern Metropolitan,27/05/2017,-37.90822,145.12036
600000,9.9,3,1,1,204,124,2008,Northern Metropolitan,04/03/2017,-37.7234,144.9497
800000,11.7,3,2,1,341,134,2015,Western Metropolitan,24/02/2018,-37.74442,144.87636
900000,15.4,3,1,1,226,136,2012,Eastern Metropolitan,24/02/2018,-37.82865,145.18624
360000,31.7,2,1,1,143,112,1999,Western Metropolitan,29/07/2017,-37.57063,144.70693
460000,5.2,2,1,1,69,52,1970,Northern Metropolitan,27/05/2017,-37.75867,144.95679
1574000,4.5,3,3,2,336,207,2007,Northern Metropolitan,16/04/2016,-37.7664,144.9797
545000,31.7,3,1,3,651,103,1980,Western Metropolitan,17/03/2018,-37.58776,144.7117
1275000,7,3,1,2,229,128,1910,Western Metropolitan,25/02/2017,-37.8172,144.8919
1520000,7,4,2,0,261,160,1910,Western Metropolitan,27/11/2016,-37.8123,144.8888
450000,14.8,3,2,2,154,135,2007,Western Metropolitan,03/02/2018,-37.72396,144.74698
471000,18,3,2,1,338,114,2000,Western Metropolitan,17/06/2017,-37.705,144.75759
693000,18.4,4,2,2,933,217,1987,Western Metropolitan,18/11/2017,-37.8707,144.6813
1020000,11.4,3,1,2,927,141,1960,Eastern Metropolitan,17/09/2016,-37.7342,145.0658
1650000,10.7,5,3,2,598,212,1948,Southern Metropolitan,13/08/2016,-37.9075,145.0248
617000,24.8,2,2,1,306,120,2011,Eastern Metropolitan,27/05/2017,-37.87275,145.26325
1755000,9.7,4,2,2,605,155,1938,Southern Metropolitan,29/07/2017,-37.79466,145.06564
681000,6.4,3,1,2,523,93.82,1950,Western Metropolitan,22/07/2017,-37.78242,144.86955
1750000,9.2,5,2,2,710,170,1955,Southern Metropolitan,15/10/2016,-37.7907,145.0916
1000000,4.2,3,2,2,211,132,1997,Northern Metropolitan,19/11/2016,-37.7926,144.9197
805000,18,3,2,0,848,127,1979,Eastern Metropolitan,01/07/2017,-37.70913,145.1647
1410000,11.4,4,3,4,623,214,1950,Southern Metropolitan,23/09/2017,-37.92588,145.04808
595000,20.6,3,2,2,546,153,2009,Northern Metropolitan,04/11/2017,-37.5868,144.9006
1465000,6.2,3,2,2,265,177,2010,Southern Metropolitan,03/06/2017,-37.84506,145.05246
1650000,7.8,3,2,2,305,189,1998,Southern Metropolitan,03/12/2016,-37.8365,145.0802
649000,19.6,4,2,2,376,180,2010,Northern Metropolitan,17/03/2018,-37.62918,145.00855
1088000,2.6,3,3,2,168,120,1915,Northern Metropolitan,16/04/2016,-37.8126,145.0064
1101000,13.8,3,2,2,643,135,1965,Eastern Metropolitan,04/06/2016,-37.7602,145.1166
1065000,8,2,1,2,477,143,1960,Western Metropolitan,17/09/2016,-37.7503,144.911
2168000,13.9,5,5,2,669,395,2016,Eastern Metropolitan,10/09/2016,-37.7808,145.1185
656000,11.4,2,1,1,103,82,1970,Southern Metropolitan,18/06/2016,-37.8873,145.0559
1400000,21.5,3,1,2,588,101,1960,South-Eastern Metropolitan,28/10/2017,-37.99201,145.08461
1660000,5.3,3,2,1,120,133,1890,Southern Metropolitan,09/12/2017,-37.81886,145.04027
1080000,11.2,3,3,2,539,162,1976,Western Metropolitan,17/09/2016,-37.7444,144.8847
612500,12,3,1,1,170,128,1950,Northern Metropolitan,03/09/2017,-37.72924,145.02981
850000,9.7,3,3,3,250,207,2016,Western Metropolitan,15/10/2016,-37.7189,144.9036
770000,8.8,2,2,1,76,129,2013,Northern Metropolitan,18/06/2016,-37.7443,145.0015
480000,5.2,2,1,1,557,57,1960,Northern Metropolitan,22/04/2017,-37.7732,144.951
1210000,13.8,3,2,2,9838,152,2010,Southern Metropolitan,01/07/2017,-37.93464,144.99601
1125000,3.3,2,1,0,146,89,1910,Southern Metropolitan,24/09/2016,-37.8454,144.9888
530000,25.9,3,2,2,315,120,2013,Northern Victoria,17/03/2018,-37.61202,145.13012
5046000,6.1,5,3,3,1294,378,1884,Southern Metropolitan,10/12/2016,-37.8589,144.9883
1350000,5.4,3,1,2,323,146,1910,Southern Metropolitan,24/02/2018,-37.81155,145.02845
1175000,15.5,4,2,2,584,185,1975,South-Eastern Metropolitan,11/11/2017,-37.9279,145.0849
707500,11.2,2,1,1,170,83,1975,Southern Metropolitan,18/06/2016,-37.8689,145.0504
1529500,12.2,5,3,2,585,317,2000,Southern Metropolitan,17/09/2016,-37.8637,145.1024
600000,2.7,2,1,1,876,62,1972,Southern Metropolitan,08/07/2017,-37.83766,144.98799
1400000,4.6,3,2,1,164,126,1890,Southern Metropolitan,28/08/2016,-37.8159,145.0219
1840000,10.3,4,2,2,612,183,1930,Southern Metropolitan,03/03/2018,-37.9076,145.02043
660000,14.9,3,1,0,583,124,1970,Northern Metropolitan,03/12/2016,-37.7137,145.0778
1930000,10.3,5,2,1,939,236,1930,Eastern Metropolitan,15/10/2016,-37.7659,145.0585
3175000,5.4,5,4,2,769,285,1940,Southern Metropolitan,17/06/2017,-37.81143,145.03723
826000,14.9,5,1,2,545,132,1970,Northern Metropolitan,06/05/2017,-37.705,145.0825
1301000,6.1,2,1,1,165,97,1910,Southern Metropolitan,13/05/2017,-37.8658,144.9774
607000,18.4,4,2,2,350,159,2015,Western Metropolitan,10/02/2018,-37.84477,144.73444
3120000,4.1,4,2,1,182,100,1900,Southern Metropolitan,19/11/2016,-37.8518,144.9663
2725000,3.5,5,3,0,249,210,1900,Southern Metropolitan,09/12/2017,-37.83805,144.94761
495000,34.1,3,2,1,227,113,2000,South-Eastern Metropolitan,10/02/2018,-38.0079,145.32165
950000,8.8,3,1,2,563,180,1918,Northern Metropolitan,04/06/2016,-37.7318,145.0192
2550000,10.2,3,2,3,1170,202,1950,Southern Metropolitan,26/08/2017,-37.87253,145.0705
1300000,9.8,5,2,2,616,184,1950,Western Metropolitan,16/07/2016,-37.7497,144.8867
1850000,27,6,4,4,840,547,2011,South-Eastern Metropolitan,27/05/2017,-38.03548,145.11763
1086000,10.5,4,2,2,724,161,1960,Eastern Metropolitan,12/11/2016,-37.7404,145.0582
3171000,11.2,4,2,2,710,340,2000,Southern Metropolitan,07/05/2016,-37.9241,145.0008
762000,23.2,3,2,2,792,148,1980,Eastern Metropolitan,15/07/2017,-37.82809,145.29287
665000,9.9,4,2,2,148,141,2001,Northern Metropolitan,26/07/2016,-37.7231,144.9482
1655000,5.5,3,1,3,472,101,1924,Northern Metropolitan,08/10/2016,-37.7765,145.0027
930000,8.8,4,2,2,604,180,1920,Northern Metropolitan,03/09/2016,-37.7369,144.9905
640000,13.9,2,2,2,298,118,2005,Southern Metropolitan,30/07/2016,-37.908,145.0716
785000,10.5,3,1,0,592,130,1950,Eastern Metropolitan,10/12/2016,-37.7477,145.0481
955000,17.9,2,2,1,836,112,2009,Southern Metropolitan,19/08/2017,-37.97342,145.07201
1007000,8.5,4,2,2,125,200,2000,Southern Metropolitan,22/05/2016,-37.8855,145.001
772000,11.2,4,1,4,590,135,1955,Northern Metropolitan,03/03/2018,-37.70716,144.93744
1200000,13.9,4,2,2,619,191,1960,Southern Metropolitan,07/05/2016,-37.9358,145.0688
3950000,6.2,4,3,3,851,333,1980,Southern Metropolitan,24/02/2018,-37.84437,145.04763
800000,8.5,3,2,2,331,112,2010,Southern Metropolitan,10/12/2016,-37.8847,144.9992
1050000,15.2,4,2,1,173,184,2010,Southern Metropolitan,23/09/2017,-37.94723,145.02268
845000,13.6,3,2,1,177,111,2012,Southern Metropolitan,28/05/2016,-37.8824,145.1042
2725000,9.2,4,3,2,603,246,2007,Southern Metropolitan,25/02/2017,-37.8521,145.0657
735000,20.4,5,3,2,743,283,2005,Northern Metropolitan,04/11/2017,-37.6444,144.9081
1435000,5.2,3,2,0,251,108,1890,Northern Metropolitan,03/06/2017,-37.77588,144.95736
920000,8.8,3,1,1,396,184,1920,Northern Metropolitan,27/06/2016,-37.7361,145.0093
1500000,3.4,3,1,1,230,127,1900,Northern Metropolitan,08/04/2017,-37.788,144.9967
625000,5.2,1,1,1,82,114,1930,Northern Metropolitan,18/06/2016,-37.7661,144.9614
697000,20.5,4,2,2,420,161,2009,Northern Metropolitan,06/01/2018,-37.63552,145.08976
1400000,12.1,4,2,2,557,178,1955,Southern Metropolitan,25/02/2017,-37.906,145.074
2020000,9.2,4,2,2,630,351,2009,Southern Metropolitan,10/09/2016,-37.8667,145.0752
1500000,4.1,3,2,1,151,165,1880,Southern Metropolitan,27/06/2016,-37.847,144.9594
1776000,16,5,3,2,501,312,2015,Southern Metropolitan,28/10/2017,-37.94996,145.0452
710000,8.4,4,1,2,329,108,1955,Western Metropolitan,04/06/2016,-37.847,144.8788
1550000,13.9,5,3,2,623,257,1950,Southern Metropolitan,18/06/2016,-37.9066,145.0541
1350000,45.9,4,2,8,40469,245,1990,Northern Victoria,25/11/2017,-37.543,144.5969
2030000,7.8,4,2,2,686,210,1960,Southern Metropolitan,28/05/2016,-37.8458,145.0611
1101000,8.7,2,1,2,347,96,1943,Southern Metropolitan,03/03/2018,-37.89762,145.02297
783000,12.4,3,2,1,603,115,1940,Northern Metropolitan,10/12/2016,-37.7194,144.9678
1600000,13.7,4,2,2,607,242,2011,Southern Metropolitan,03/12/2016,-37.9324,145.0235
1020000,13.9,3,1,2,596,144,1960,Southern Metropolitan,27/11/2016,-37.9251,145.0771
1430000,13.8,2,1,3,580,94,1950,Southern Metropolitan,17/02/2018,-37.91766,145.05294
2200000,7.5,5,3,2,607,291,2016,Western Metropolitan,01/07/2017,-37.75148,144.88519
475000,11.2,3,1,1,191,107,1990,Northern Metropolitan,03/09/2016,-37.7019,145.0256
1123000,8.8,3,1,2,504,506,1950,Northern Metropolitan,22/08/2016,-37.7476,144.9842
630000,31.7,4,2,2,888,210,2007,Northern Victoria,14/10/2017,-37.67234,144.54543
2950000,11,9,7,4,1472,618,2009,Southern Metropolitan,10/09/2016,-37.8729,145.0788
1335000,9.2,3,2,2,368,177,2009,Southern Metropolitan,22/05/2016,-37.7846,145.0935
722000,13.9,2,2,1,201,79,2005,Southern Metropolitan,16/04/2016,-37.9293,145.0657
1229000,13.4,4,2,2,727,115,1960,Eastern Metropolitan,23/09/2017,-37.84378,145.13407
455000,20.6,3,2,1,266,106,2013,Northern Metropolitan,10/03/2018,-37.57286,144.90412
579000,10.8,3,2,1,198,144,2013,Western Metropolitan,19/11/2016,-37.7827,144.8625
366000,44.2,3,1,1,502,77,1978,Northern Victoria,16/09/2017,-37.40853,144.97749
1070000,8.9,3,2,5,442,249,2003,Western Metropolitan,08/04/2017,-37.8538,144.8722
1280000,6.5,3,1,1,253,130,1910,Northern Metropolitan,25/02/2017,-37.7566,144.9965
445000,8.2,2,1,1,92,63.4,1970,Western Metropolitan,27/05/2017,-37.7388,144.89984
1271000,7,3,1,2,470,151,1950,Northern Metropolitan,26/08/2017,-37.75937,145.01534
1380000,6.5,3,2,1,359,128,1920,Northern Metropolitan,28/08/2016,-37.7565,144.9906
1390000,7.3,3,2,1,303,150,1940,Southern Metropolitan,19/08/2017,-37.85678,145.05555
430000,11.4,2,1,1,164,83,1980,Eastern Metropolitan,16/04/2016,-37.7362,145.079
1435000,12.4,3,1,2,738,114,1960,Eastern Metropolitan,21/10/2017,-37.77154,145.10361
730000,20.4,4,2,1,633,270,2004,Northern Metropolitan,27/05/2017,-37.63958,144.90267
1420000,13.8,4,2,2,638,156,1960,Southern Metropolitan,21/10/2017,-37.92176,145.07477
850000,24.8,4,2,1,738,148,1985,Eastern Metropolitan,15/07/2017,-37.89863,145.26708
940000,11,3,1,2,534,106,1940,Western Metropolitan,07/10/2017,-37.85993,144.8176
621000,14.7,4,2,2,556,177,2001,Western Metropolitan,09/09/2017,-37.89463,144.66857
515000,45.9,3,2,1,900,116,1970,Northern Victoria,07/10/2017,-37.49317,144.59245
720000,26.5,3,1,1,862,97,1960,Eastern Victoria,09/09/2017,-37.78329,145.32271
2065000,4.6,3,1,1,351,150,1910,Southern Metropolitan,12/06/2016,-37.8165,145.021
1300000,16.7,4,2,0,712,163,1960,Eastern Metropolitan,28/10/2017,-37.8939,145.14707
413000,29.8,3,1,6,731,101,1970,Western Victoria,04/11/2017,-37.7131,144.5755
1280000,11.4,4,3,2,306,200,2014,Southern Metropolitan,12/08/2017,-37.92893,145.04581
570000,25.5,3,2,2,404,158,2012,Northern Metropolitan,24/02/2018,-37.61031,145.03393
3900000,9.1,4,4,4,670,375,2010,Western Metropolitan,10/12/2016,-37.7637,144.8931
